home_appliance,real_power,60Hz,120Hz,180Hz,240Hz,300Hz,360Hz,420Hz,480Hz,540Hz,600Hz,660Hz,720Hz,780Hz,840Hz,900Hz,960Hz,1020Hz,1080Hz,1140Hz,1200Hz,1260Hz,1320Hz
Air Fryer,1169.86,137.98289633803108,2.0137140031272738,3.5155631476191473,0.5933775457930671,1.1245656172617875,0.5195952375223041,0.5736554838542642,0.44406093916083217,0.5561963479077058,0.2979074696493767,0.24552356991364,0.20420599895727296,0.15377426081463771,0.24528145182010425,0.3740362073650332,0.15630232883112727,0.16701407722006012,0.14999979793842888,0.18195841522586814,0.1770854518877972,0.16719794342712685,0.17046029858105732
Air Fryer,1171.31,138.51288168495043,1.8757436689660196,3.4515119779039773,0.5072079317352088,1.854803866695913,0.19549560230502017,0.501127134727464,0.09891832830268668,0.2447065113118264,0.1593942918351312,0.08801633196307886,0.10012431711173612,0.019921077937415963,0.09039207483220611,0.03568845155703235,0.19986289450459535,0.11647536211923756,0.16369254005547768,0.10652769863817198,0.10912295684207382,0.11043177375877745,0.10795637344185195
Air Fryer,1149.2,136.7814700448314,2.767185797890139,1.9953740345944313,1.3443295053213316,2.4301310592038763,0.643132468652727,0.31310373796875485,0.6258628111719898,0.7213451481112584,0.491743227142174,0.4184138025499119,0.3912899828381917,0.40981423173685855,0.3442922896872908,0.2344613478581668,0.387367779307022,0.36662640384018697,0.3095016364136133,0.2930249848658707,0.2954171711707071,0.3172007418021045,0.2925978034000698
Air Fryer,1181.08,138.74394492873864,1.6459116781398295,3.3884079038416637,0.2889496392383535,1.5627805661975553,0.21423216102373843,0.4185022884902745,0.13187529928610792,0.20274881114182836,0.11516434061159157,0.08821307784623418,0.06030455561080061,0.022671011063093858,0.09742186034892643,0.11069993108139048,0.09285055199648713,0.050611942884645385,0.06094204522467629,0.11750900695772869,0.09487689380144805,0.07112778774652101,0.06835950727101905
Air Fryer,1156.78,137.57959400829668,2.489658438651921,2.7974835541527114,0.9252385376871186,1.3433031679184875,0.6912347300417309,0.5823754497166849,0.49936146140889687,0.6364932299026063,0.3634476610180845,0.35982859186927213,0.35920728133373725,0.244984461243971,0.34141651201286166,0.31537425909626726,0.3294836712212359,0.31618232395222884,0.3155544925758442,0.3167371699788356,0.2896564184077509,0.2810943406963874,0.26694832114825773
Air Fryer,1162.19,137.38913860527424,2.4272799433422754,3.4639234434039654,0.9309475562456422,1.662695986365865,0.6954485428116883,0.8847674076363209,0.43151023741584077,0.44462509130842587,0.45734053073611686,0.372415887611954,0.2990649825506314,0.3518853646604458,0.26618701307303383,0.20082080935178626,0.31756013178591347,0.2776466816784932,0.2817262706679015,0.22310039776649732,0.2903629681150711,0.22607483294710107,0.24402477982718568
Air Fryer,1174.91,138.59142997179964,1.7810152891353785,3.4619375853419565,0.42879213223153106,1.7046653323901957,0.18248499475098134,0.5284564383052971,0.050160513611450304,0.3314913430848426,0.06308640404990218,0.04147034434299788,0.11482655325118248,0.12737583259296278,0.10926091761050953,0.1780521548359466,0.08654678973369419,0.05933962129295671,0.07978517475030297,0.07289881480368025,0.04944594168046175,0.051723121712073626,0.059050210034353616
Air Fryer,1146.21,136.70721142153673,2.8063719653126507,1.1730609543667787,1.2855679801339,1.982308849362041,0.830353944927549,0.6398360964548777,0.7213781369108918,0.6944982509948247,0.5307491168544524,0.5204459484524794,0.45238231032712817,0.43335636528529164,0.40658130074523396,0.50530394406827,0.29098953594840526,0.28797668378434615,0.3534607171964645,0.29415691403258615,0.3071626015624353,0.3235010476561046,0.3089828716574061
Air Fryer,1178.42,138.61026141207208,1.6663375796123254,3.4131208853568706,0.30715597287175184,1.5005461167416791,0.30709620685224365,0.37247810235946655,0.20575164808358368,0.0850009065706009,0.15640034999275693,0.15856475775317966,0.14350707515115868,0.0973719368565593,0.16537036673923516,0.24131552499938946,0.05047338338169993,0.125183425583346,0.06373818271318003,0.020045558255393954,0.07161428767188648,0.06448883128940573,0.09316697639638463
Air Fryer,1159.59,137.8142207482223,2.401906468195687,3.050288510375696,0.8508399668767573,1.608813746574173,0.5521864946033549,0.35612088814057546,0.46145302099865687,0.5466737504722025,0.34095164853763843,0.2971517529434446,0.2819331655494701,0.23358916414516442,0.27502449180539873,0.11386742346259227,0.2816371253988454,0.22718392321632958,0.250995001377812,0.19081147116833427,0.19471680068155572,0.2006482158599709,0.2130136230438699
Air Fryer,1155.54,137.04869474729512,2.5894036334582053,2.987404209939562,1.2179984768366836,2.1769318712427914,0.5871777540914873,0.8048857211310232,0.49403691541644124,0.24910469484131703,0.4287256908936778,0.36412706000825007,0.3623412878754922,0.34075822933213035,0.33419113035753334,0.40160291631018713,0.2659529890767324,0.2799451132051299,0.2531705410342895,0.3409081051457674,0.2784121965734845,0.2766873324083429,0.24622295793636956
Air Fryer,1178.92,138.80191151433615,1.4587518507346373,3.3585600893854375,0.2714596367578758,1.5405038373266784,0.1969976997534765,0.42832315582453356,0.06020981921162094,0.23732380229824046,0.06776641838194017,0.06185118339632023,0.013691015145196937,0.07920643661781081,0.021755893324708998,0.11209124138216699,0.09229446077122799,0.032535277861421574,0.047044680970963516,0.05348035050700546,0.024590298364524445,0.057971929886822336,0.07783016774834065
Air Fryer,1147.8,136.9960939629311,2.6788849089922233,1.5010368843189705,1.1808066399666555,0.8297586651642915,0.9384937497599477,1.060923380025703,0.5899098459054056,0.34274122661145473,0.5339034929444779,0.4556000027012577,0.442285396220443,0.38578373091026663,0.353457236171624,0.21694272222583655,0.41342048065192916,0.3971384160138211,0.3337104432642424,0.3715374454396932,0.3111085203418339,0.31992566659786265,0.30722166426198766
Air Fryer,1172.56,138.1014200634908,2.0430326591478494,3.6809857661310987,0.5426503267918227,1.0409710531792236,0.5438314402779909,0.2110018612086073,0.3605763086281442,0.4396920677062139,0.2519882341510825,0.24588451876397782,0.2520958250773314,0.2594370003235545,0.19584592627978265,0.07281694955292209,0.2927627349596627,0.23261348368150528,0.20094547853201233,0.17800535038156842,0.1625745449752194,0.18951243009505223,0.19358283411318458
Air Fryer,1167.21,138.2392068097929,2.1467671396365735,3.4623703110993516,0.626917647422357,1.8843999955017567,0.3052793516448162,0.3019581962425523,0.3155359631339268,0.01257120600671314,0.25983540074862554,0.17042465983855046,0.19138773408030668,0.21262869604197301,0.14820020930425143,0.28537601811773133,0.14229501857530558,0.18132939945299228,0.11929133830421836,0.1256654345590747,0.09978734149237771,0.16658267360917908,0.11716983545373434
Air Fryer,1148.46,136.73352847109865,2.7717542642319017,1.5108711738992175,1.3684421153886555,2.2219787452171036,0.7260454493537797,0.33563280538572376,0.6630088203379056,0.7955782714594457,0.5330062650392183,0.4996456010878032,0.4151943497816741,0.46233162235321607,0.35932370844401373,0.2996511617562228,0.3438992445414678,0.3822289220200879,0.3072617891200749,0.3868751069854666,0.33069439567640013,0.3024089667786397,0.3169041333202385
Air Fryer,1180.38,138.704334549067,1.4739346173461014,3.36551889256059,0.3510407980216343,1.615559592950204,0.1777090067193169,0.3564561168699553,0.11663465676589849,0.21171378354077522,0.14743879700051915,0.07066743438387772,0.06069953165783243,0.06120641893638832,0.11460320051903472,0.1385933671963362,0.1317823214324302,0.08289301044819897,0.0851090492847519,0.08876420056242396,0.08342850428412746,0.07230464950659352,0.04405820332474112
Air Fryer,1154.08,137.53723188022275,2.4265616829313332,2.6017771380313035,0.9680234895648789,1.1128245077363983,0.6952156257554628,0.6800943545368966,0.4855206454508032,0.6888947921235282,0.3811621527861967,0.37206826778241636,0.3412840901413474,0.27868034698525673,0.32382692711119615,0.39526812735157785,0.2701073951626199,0.3238045490412473,0.23337554681741046,0.3199061622312571,0.26656656322687683,0.2423712978305687,0.26720134072550666
Air Fryer,1163.97,137.56864316754664,2.348860974519795,3.541229765733518,0.8722051301708948,1.4158748571632085,0.6175197414435194,0.7855065986513903,0.4957718187744684,0.5154907504296954,0.37305688408172855,0.39143965089496474,0.30569147570159017,0.26407385510464315,0.28194604153290936,0.3508651763281433,0.23403777573373372,0.19951988999083295,0.30822990072364725,0.2672752827667907,0.2164569290679739,0.23944300064913793,0.23101698471949694
Air Fryer,1172.92,138.50947912561853,1.8960321018387178,3.4687501375176995,0.43345017806374775,1.8002507075704854,0.18007049319433702,0.5107241344170675,0.09858559671836822,0.27778022170141414,0.07535513852876513,0.10151928208723625,0.07753769402709104,0.05889881204172225,0.0876064679495147,0.09780599507987617,0.12678882814376966,0.09723214138967456,0.10436205835020097,0.11658631485779573,0.07525976796368436,0.07953718472016509,0.09266125457346897
Air Fryer,1147.35,136.77422087117364,2.773563379374174,1.0880316983788765,1.3374423624362823,1.779157483616969,0.8222340102639756,0.7105918819565141,0.6268531188244495,0.6210754169752843,0.5923050492570747,0.4674956815115639,0.44248031743167343,0.37591139570136684,0.3928636677632313,0.5343410411038375,0.30045773616679344,0.29699569254877584,0.3174844716571242,0.2833592220947207,0.32813222323410207,0.2962018631358737,0.28223917966368817
Air Fryer,1178.51,138.51660191116994,1.6544246532333413,3.5642768175241883,0.3930619383157681,1.4206575458929704,0.28724514959846675,0.3022555970993149,0.30068113831470644,0.02741615847885564,0.22593710324293279,0.15998400117891795,0.14628828717970652,0.17781388521475236,0.12566973824741293,0.2572365264468752,0.04801690639425172,0.1227322969186991,0.11783479816456682,0.09741820215548704,0.10390935098864339,0.12532486883801056,0.13341199657571826
Air Fryer,1159.65,137.83660979705573,2.342325232415565,3.0933843734210678,0.8402300039336663,1.616707911787527,0.5419806032208146,0.28885760907889807,0.4823096200372268,0.5479212972857229,0.3555487411235306,0.29190554488564413,0.3011477227753643,0.2719589175585446,0.2469161910957433,0.10645388728195566,0.30418610855842365,0.27143466137583233,0.23760156665342355,0.17422612828052245,0.20267123857375693,0.19828081961738653,0.16541459295740032
Air Fryer,1157.92,137.2013917041711,2.6128494068057906,3.2188579522642566,1.0895768757213944,1.957981583596541,0.6413658664558274,0.8983462789547088,0.38071242088682455,0.2586339650719672,0.4248157270293096,0.3439183102552945,0.34754400625907617,0.3681219282827103,0.3032298971743474,0.1708560543425379,0.35699852391651876,0.3372095861251519,0.25728549521404104,0.24872639577885303,0.21507149858068564,0.24811573736975606,0.2779372554286737
Air Fryer,1175.05,138.67582568092584,1.7111494194981836,3.4006413393123687,0.3556258708618743,1.6712181674223268,0.1477964665106493,0.48514152383107906,0.1482461938375566,0.35504529240957067,0.11454056364900778,0.06627548352241797,0.09126589734985849,0.10898429214549545,0.048898648316484404,0.21559577027493218,0.03320929741012629,0.0681197464417184,0.04371602216362668,0.04621549826005566,0.07052611615964388,0.034459280668257666,0.02873065387566721
Air Fryer,1146.35,136.84567716643159,2.751304478465264,1.1943838798481579,1.2956731061887492,1.2445989721718262,0.8783051257639357,1.0037705655407707,0.5685057227563245,0.3010841520750532,0.527178746248101,0.4374903109242493,0.45042903417172536,0.3428707757270681,0.39410069863735225,0.34046922686693687,0.38419423791982,0.43038736922829096,0.3222695378075659,0.3625699553812858,0.29884009872195183,0.30609035855616973,0.3283106159555158
Air Fryer,1176.6,138.28966835455438,1.8590371185705568,3.6199624578781573,0.43239153318536233,1.2020803042667483,0.42134928238723635,0.007796406277177614,0.34664144355570575,0.2709163423423934,0.2525807638346308,0.21222386199658624,0.2425310973205228,0.242323866535865,0.1671783631293746,0.16552980790009617,0.22012486179502724,0.13025699756276227,0.13933070620633728,0.18403394325215633,0.15907279093525054,0.18733181995471337,0.16919726110950709
Air Fryer,1162.57,138.00652926694156,2.1575366592571465,3.30254771384813,0.7461102219675477,1.8382853028138806,0.3759993838375109,0.05534311080658548,0.34732391456061085,0.282309086292903,0.33795584249441973,0.2541079518072947,0.28880609607547575,0.318967914572129,0.21545164730858596,0.29392780968238374,0.11703380502861115,0.1318175704106618,0.1718433215920023,0.1983418018962658,0.14723393093602138,0.1411295348200927,0.14391031548785965
Air Fryer,1154.67,137.0132631982123,2.6895042102184514,2.888731047998226,1.2713949196345251,2.242014446387138,0.6246983558425964,0.8299800721481614,0.463124010541169,0.23049076152125403,0.3767215762920825,0.34863860763384036,0.3292768951198523,0.3348959619587376,0.3552531937582199,0.4568631118512514,0.2641435892983805,0.24903105061307831,0.30657963779868286,0.37274682508102747,0.2606941291925624,0.27842044122847354,0.27343396134271913
Air Fryer,1177.52,138.72805139438782,1.63615943320122,3.353382608794072,0.266560541424639,1.6137675495997992,0.17199925598112775,0.43286753447642895,0.1214282500085856,0.26481652937455047,0.09908576366321742,0.04600914006665214,0.048439291596240164,0.0570969128612938,0.02833806108320357,0.14155620237552233,0.08853090111151247,0.06662384070793913,0.06943407616991852,0.06805599251916357,0.020760500563759634,0.07013587504995725,0.06142115746284816
